id,label
449246,UNCLEAR
316006,CLEAR
89758,CLEAR
40449,UNCLEAR
827611,UNCLEAR
12560,CLEAR
628616,UNCLEAR
624299,UNCLEAR
774945,UNCLEAR
742862,UNCLEAR
208920,UNCLEAR
448807,CLEAR
970011,UNCLEAR
1231428,CLEAR
462082,CLEAR
797129,CLEAR
1158758,UNCLEAR
1178384,UNCLEAR
1146929,UNCLEAR
373791,UNCLEAR
1131655,UNCLEAR
1038704,CLEAR
516631,UNCLEAR
263409,CLEAR
1049202,UNCLEAR
915295,UNCLEAR
210122,UNCLEAR
162267,CLEAR
121126,UNCLEAR
407972,UNCLEAR
749109,UNCLEAR
244170,CLEAR
457276,UNCLEAR
276792,UNCLEAR
451891,UNCLEAR
538786,CLEAR
1044967,UNCLEAR
314490,CLEAR
344423,UNCLEAR
512632,UNCLEAR
611424,UNCLEAR
154844,UNCLEAR
1029381,UNCLEAR
546075,UNCLEAR
1292112,UNCLEAR
386043,UNCLEAR
571536,CLEAR
1193313,UNCLEAR
66581,CLEAR
449315,UNCLEAR
1271159,UNCLEAR
259056,CLEAR
941108,CLEAR
974864,UNCLEAR
544069,UNCLEAR
490525,UNCLEAR
1268232,UNCLEAR
1282598,UNCLEAR
10299,UNCLEAR
512749,UNCLEAR
1133148,UNCLEAR
1086560,UNCLEAR
286174,UNCLEAR
53902,CLEAR
1174081,UNCLEAR
656038,CLEAR
449621,CLEAR
969238,UNCLEAR
1153015,CLEAR
169421,CLEAR
404628,CLEAR
146087,CLEAR
195906,UNCLEAR
1319628,UNCLEAR
1165453,UNCLEAR
291716,UNCLEAR
665871,CLEAR
1030876,UNCLEAR
868763,CLEAR
807110,CLEAR
1051739,CLEAR
957622,UNCLEAR
436829,UNCLEAR
332617,UNCLEAR
329346,UNCLEAR
1276193,UNCLEAR
1099282,UNCLEAR
540680,UNCLEAR
337252,CLEAR
913357,UNCLEAR
224729,UNCLEAR
949623,UNCLEAR
709083,UNCLEAR
740357,UNCLEAR
1062829,UNCLEAR
146017,UNCLEAR
411048,UNCLEAR
861643,UNCLEAR
387263,UNCLEAR
1177364,CLEAR
653356,UNCLEAR
884923,CLEAR
643889,CLEAR
643150,UNCLEAR
677341,CLEAR
409358,CLEAR
97554,CLEAR
127903,UNCLEAR
468978,CLEAR
1152987,UNCLEAR
266649,UNCLEAR
995448,CLEAR
1287156,UNCLEAR
1049789,UNCLEAR
1076079,UNCLEAR
1311751,UNCLEAR
126812,UNCLEAR
1170274,UNCLEAR
135847,CLEAR
242900,CLEAR
705339,CLEAR
403337,UNCLEAR
604978,UNCLEAR
146629,CLEAR
517341,UNCLEAR
656953,CLEAR
228874,UNCLEAR
741264,CLEAR
717629,UNCLEAR
1086183,UNCLEAR
399348,CLEAR
654144,CLEAR
1203369,UNCLEAR
408758,CLEAR
387917,UNCLEAR
597363,UNCLEAR
1035043,UNCLEAR
299101,CLEAR
682786,UNCLEAR
348094,CLEAR
89570,UNCLEAR
301889,UNCLEAR
92543,CLEAR
727466,CLEAR
1302319,CLEAR
1309484,UNCLEAR
728606,UNCLEAR
886799,CLEAR
553089,UNCLEAR
680916,CLEAR
1019815,UNCLEAR
757136,UNCLEAR
922631,UNCLEAR
1111027,CLEAR
1315405,UNCLEAR
935753,CLEAR
934315,CLEAR
1134753,UNCLEAR
596230,CLEAR
504427,CLEAR
1251700,UNCLEAR
417351,UNCLEAR
1213696,UNCLEAR
1273627,CLEAR
1225835,UNCLEAR
179938,CLEAR
1315969,CLEAR
1139984,UNCLEAR
451862,CLEAR
590037,UNCLEAR
1135651,CLEAR
723762,UNCLEAR
686637,UNCLEAR
196563,CLEAR
497898,UNCLEAR
419070,UNCLEAR
784445,CLEAR
1000645,UNCLEAR
1025967,UNCLEAR
706575,CLEAR
498902,UNCLEAR
260919,UNCLEAR
313400,CLEAR
430317,UNCLEAR
1325755,UNCLEAR
769244,CLEAR
675086,UNCLEAR
1007162,UNCLEAR
421722,UNCLEAR
703407,UNCLEAR
1123637,UNCLEAR
107326,UNCLEAR
1168481,UNCLEAR
614610,UNCLEAR
1033743,UNCLEAR
1161328,UNCLEAR
414369,CLEAR
86604,CLEAR
178296,CLEAR
31533,CLEAR
1129126,UNCLEAR
462863,UNCLEAR
160901,CLEAR
848201,UNCLEAR
819195,UNCLEAR
26661,UNCLEAR
587545,UNCLEAR
794281,UNCLEAR
694931,UNCLEAR
328098,UNCLEAR
1213438,UNCLEAR
728877,UNCLEAR
323471,UNCLEAR
813060,UNCLEAR
925011,UNCLEAR
331018,CLEAR
1059856,UNCLEAR
1217457,CLEAR
1010303,UNCLEAR
661243,UNCLEAR
465618,UNCLEAR
1191821,CLEAR
654089,UNCLEAR
521659,UNCLEAR
700750,UNCLEAR
663903,UNCLEAR
1250021,UNCLEAR
464446,UNCLEAR
441022,UNCLEAR
888964,CLEAR
220273,UNCLEAR
68634,UNCLEAR
245028,UNCLEAR
767204,UNCLEAR
848018,UNCLEAR
175253,CLEAR
295112,CLEAR
891438,UNCLEAR
752842,CLEAR
265320,CLEAR
1041772,UNCLEAR
1260806,UNCLEAR
444567,UNCLEAR
879217,CLEAR
771974,CLEAR
1098867,UNCLEAR
247627,CLEAR
502955,UNCLEAR
923510,UNCLEAR
555545,CLEAR
1250640,UNCLEAR
428795,CLEAR
1233456,UNCLEAR
722729,CLEAR
929231,UNCLEAR
1260604,CLEAR
1004939,UNCLEAR
1170466,UNCLEAR
1195764,UNCLEAR
932631,UNCLEAR
285738,UNCLEAR
500155,CLEAR
1319944,UNCLEAR
1116813,UNCLEAR
740784,CLEAR
1156702,CLEAR
1052409,UNCLEAR
372751,UNCLEAR
643307,UNCLEAR
797097,CLEAR
269419,UNCLEAR
422239,UNCLEAR
463785,CLEAR
465909,CLEAR
1113362,CLEAR
538124,UNCLEAR
704825,UNCLEAR
922722,CLEAR
723292,UNCLEAR
334401,CLEAR
154382,UNCLEAR
723063,CLEAR
95574,CLEAR
1268281,UNCLEAR
854961,UNCLEAR
956362,UNCLEAR
383199,CLEAR
1233485,UNCLEAR
896736,UNCLEAR
832266,CLEAR
578516,CLEAR
1299140,UNCLEAR
981113,CLEAR
716863,CLEAR
1291052,UNCLEAR
635314,UNCLEAR
1270557,CLEAR
115156,UNCLEAR
825113,UNCLEAR
787611,UNCLEAR
502218,UNCLEAR
1314572,CLEAR
832601,UNCLEAR
284463,UNCLEAR
267524,CLEAR
461584,CLEAR
247598,UNCLEAR
868893,CLEAR
1307966,UNCLEAR
400186,CLEAR
1034344,UNCLEAR
224763,UNCLEAR
64995,UNCLEAR
1291357,UNCLEAR
1021027,UNCLEAR
867783,UNCLEAR
30823,CLEAR
328728,UNCLEAR
297872,CLEAR
812804,CLEAR
903841,CLEAR
863714,UNCLEAR
62820,CLEAR
786746,UNCLEAR
829299,UNCLEAR
773257,CLEAR
1084417,UNCLEAR
1298129,UNCLEAR
1259151,UNCLEAR
1279154,CLEAR
1175016,CLEAR
1213548,UNCLEAR
1223120,UNCLEAR
160898,CLEAR
1004151,CLEAR
903421,UNCLEAR
1124260,UNCLEAR
143332,CLEAR
857146,UNCLEAR
1000376,CLEAR
131235,CLEAR
908473,CLEAR
283581,UNCLEAR
375975,UNCLEAR
804456,UNCLEAR
485373,UNCLEAR
1041512,UNCLEAR
1206933,UNCLEAR
